"IDكودالصيانة","رقم الشاسية","تاريخ الصيانة","عداد اسود","عداد الوان","بيان الاصلاح","المهندس","قطع الغيار المطوبة","Field1"
"13604","S5209101905","11/13/2024 12:00:00 AM","18416","","صيانة دورية","مجدى","",""
"13605","W915P407081","11/13/2024 12:00:00 AM","177632","","صيانة دورية","مجدى","",""
"13606","VFS8401660 ش","11/13/2024 12:00:00 AM","372851","89466","صيانة دورية","مجدى","",""
"13607","S7214200506","11/13/2024 12:00:00 AM","481707","106448","صيانة دورية","مجدى","",""
"13608","S7234200574 ش","11/13/2024 12:00:00 AM","247763","99849","صيانة دورية","مجدى","",""
"13614","K8366811480","11/14/2024 12:00:00 AM","171558","","محتاج  سخان","شعبان","",""
"13618","G077P700179","11/16/2024 12:00:00 AM","69451","46169","محتاج كلينر وحصيره","شعبان","",""
"13619","V2404400511 ش","11/14/2024 12:00:00 AM","125313","63466","صيانه للبانل","شعبان","",""
"13621","W502KC00365 ش","11/14/2024 12:00:00 AM","886471","292699"," صيانه البامب الاصفر","شعبان","",""
"13626","V6912500348","11/16/2024 12:00:00 AM","425679","86291","ملو حبر ازرق+حبر احمر اسبير تم تحصيل 1050ج","","",""
"13628","V9314603110","11/16/2024 12:00:00 AM","126741","56851","تم ملو حبر 900ج","رضا","",""
"13629","R6B9205322 ش","11/16/2024 12:00:00 AM","609444","","صيانة دورية","مجدى","",""
"13631","R6B9104226","11/16/2024 12:00:00 AM","504236","","صيانة دورية","مجدى","",""
"13636","V9304802358","11/17/2024 12:00:00 AM","269213","94106","تفريغ عادم","شعبان","",""
"13638","K8366811480","11/17/2024 12:00:00 AM","171558","","تم اسبدال السخان","شعبان","",""
"13641","T1148961278","11/11/2024 12:00:00 AM","36790","","تم صيانه لليونت +وملو حبر","مروان","",""
"13642","VG37812573 ش","11/14/2024 12:00:00 AM","748208","16711","صيانة دورية","مجدى","",""
"13643","W2J7808624 ش","11/14/2024 12:00:00 AM","716609","177513","صيانه دوريه","مجدى","",""
"13644","V7905800315 ش","11/16/2024 12:00:00 AM","1897173","","تم تغيير طقم تروس","شعبان","",""
"13645","W542JB00610 ش","11/16/2024 12:00:00 AM","417860","113921","تم صيانة للسخان","شعبان","",""
"13646","V7902800502","11/16/2024 12:00:00 AM","354426","","صيانه دوريه","شعبان","",""
"13648","VG67303326","11/16/2024 12:00:00 AM","457444","130307","ص---د","شعبان","",""
"13651","W915PC03471","11/16/2024 12:00:00 AM","212607","","صيانة دورية","مجدى","",""
"13652","S7314400099","11/10/2024 12:00:00 AM","321803","20536","صيانة دورية","مجدى","",""
"13653","VFP8X01679","11/16/2024 12:00:00 AM","19029","551154","صيانه دوريه","مجدى","",""
"13654","S8112300495","11/14/2024 12:00:00 AM","126810","","صيانة","مجدى","",""
"13655","W662K400211 ش","11/14/2024 12:00:00 AM","531867","","صيانه دوريه","مجدى","",""
"13657","S7214100287","11/16/2024 12:00:00 AM","156115","39395","صيانة دورية","مجدى","",""
"13658","S7214400286","11/14/2024 12:00:00 AM","326271","92439","ص","مجدى","",""
"13659","E333M920248 ش","11/14/2024 12:00:00 AM","320485","","صيانة دورية","مجدى","",""
"13660","W903P600098","11/14/2024 12:00:00 AM","85468","","تم عمل صيانة للالة","مجدى","",""
"13661","LXP5805722","11/14/2024 12:00:00 AM","229925","","صيانة دورية","مجدى","",""
"13662","VFL7306453","11/17/2024 12:00:00 AM","63937","193277","تسليم عداد","شعبان","",""
"13664","VG38922902","11/17/2024 12:00:00 AM","32486","38255","تم ملو حبر اسود","رضا","",""
"13666","V7905800315 ش","11/17/2024 12:00:00 AM","1899553","","تم صيانه لليونت","شعبان","",""
"13668","V1403900164","11/17/2024 12:00:00 AM","56770","63666","تم تغيير كلينر حصيرة","شعبان","",""
"13669","W2W7622300","11/17/2024 12:00:00 AM","60274","169682","عداد تسليم الالة","رضا","",""
"13671","W663K200026","11/17/2024 12:00:00 AM","404440","","تم صيانه لليونت","شعبان","",""
"13673","W662K400211 ش","11/17/2024 12:00:00 AM","531885","","صيانه دوريه","مجدى","",""
"13674","V4499100226","11/17/2024 12:00:00 AM","","","","","",""
"13676","W2J7808624 ش","11/17/2024 12:00:00 AM","718729","177513","صيانه دوريه","مجدى","",""
"13677","VG37812573 ش","11/17/2024 12:00:00 AM","748633","16717","صيانة دورية","مجدى","",""
"13678","S9319501678","11/17/2024 12:00:00 AM","39367","35543","تم تركيب بامب اسود+ يونت اسود","مجدى","",""
"13679","N3Y3313928","11/17/2024 12:00:00 AM","437158","","صيانه دوريه","مجدى","",""
"13680","LEH3600249","11/17/2024 12:00:00 AM","435271","148311","صيانه دوريه","مجدى","",""
"13684","M5603100143","11/18/2024 12:00:00 AM","2085984","","2 مجموعة سحب+بلاستيكات+قاعدة حصيره+2بوابه+درافين سخان جديد ثرمستور استعمالل","","تم دفع مبلغ 3500جنيه+100ج تعريف الاله",""
"13685","W2N7Z18509","11/18/2024 12:00:00 AM","579420","155656","عداد تسليم الالة","رضا","",""
"13686","VG37913703","11/18/2024 12:00:00 AM","82230","169937","صيانه+محتاج حبر اصفر واحمر","رضا","",""
"13687","L7086660183","11/18/2024 12:00:00 AM","226458","","تم ملو حبر وتغيير سخان","رضا","محتاج ماتور سحب للدرج الاول",""
"13688","LH45Y15585","11/18/2024 12:00:00 AM","1130764","","ملو حبر+صيانه","رضا","",""
"13689","M5793300004","11/18/2024 12:00:00 AM","477779","","تم حل كود221+الحشر","رضا","",""
"13690","V2204302180","11/18/2024 12:00:00 AM","240465","86740","تفريغ العادم+صينه","رضا","",""
"13691","V9734601391","11/18/2024 12:00:00 AM","317651","9931","ملو حبر+ص","رضا","",""
"13694","S7234200574 ش","11/18/2024 12:00:00 AM","247877","100083","صيانة دورية","مجدى","",""
"13695","S7214200506","11/18/2024 12:00:00 AM","481836","106775","صيانة دورية","مجدى","",""
"13696","W2J8516934","11/18/2024 12:00:00 AM","237265","174694","صيانه دوريه","مجدى","",""
"13697","W512JB01583","11/18/2024 12:00:00 AM","341318","354268","صيانة دورية","رضا","",""
"13699","W512JB00425","11/18/2024 12:00:00 AM","542267","314462","تم تغيير بامب اصفر اله mp4502","مجدى","م",""
"13700","E256C930053","11/18/2024 12:00:00 AM","174216","363080","ص","مجدى","",""
"13704","W663K200026","11/18/2024 12:00:00 AM","405072","","مسح مرايات","شعبان","",""
"13707","V8204201278","11/18/2024 12:00:00 AM","268848","","صيانة دورية","شعبان","",""
"13708","K8266510466","11/18/2024 12:00:00 AM","232430","","صيانة دورية","شعبان","",""
"13709","K8563700734","11/18/2024 12:00:00 AM","279421","","تم تركيب طقم تروس1022+شفرة درام","شعبان","",""
"13710","V8314400059","11/18/2024 12:00:00 AM","1529445","","صيانة دورية","شعبان","",""
"13712","L7026361179","11/18/2024 12:00:00 AM","87598","","صيانة دورية","شعبان","",""
"13713","L7016460782","11/18/2024 12:00:00 AM","81348","","تم تسليم زجاجة حبر + صيانة دورية","شعبان","",""
"13714","w2s6902162","11/20/2024 12:00:00 AM","170576","127937","تسليم عداد","رضا","",""
"13716","R6B9205322 ش","11/20/2024 12:00:00 AM","618082","","صيانة دورية","مجدى","",""
"13719","M5482800037 ش","11/19/2024 12:00:00 AM","126896","","صيانه للسخان","شعبان","",""
"13720","VG37912991","11/19/2024 12:00:00 AM","184179","136408","محتاج حبر اسود","شعبان","",""
"13726","W431K900560","11/19/2024 12:00:00 AM","1040104","","صيانه دوريه","شعبان","",""
"13729","M6293700173","11/19/2024 12:00:00 AM","422171","","تم تغيير شفرة درام","شعبان","",""
"13732","VG37913703","11/19/2024 12:00:00 AM","82230","169938","تم ملو حبر احمر واصفر","رضا","",""
"13733","L7086660183","11/19/2024 12:00:00 AM","226501","","تم تغيير كلنتش درج1","رضا","",""
"13734","S9258500261","11/19/2024 12:00:00 AM","39882","","صيانة دورية","رضا","",""
"13736","M5793300004","11/19/2024 12:00:00 AM","478047","","تم تغيير 2جلب رسترشن","رضا","",""
"13737","S9249500025","11/18/2024 12:00:00 AM","67783","","صيانه","رضا","",""
"13738","W3059500770 ش","11/10/2024 12:00:00 AM","126312","","صيانه دوريه","رضا","",""
"13740","S9024300805","11/16/2024 12:00:00 AM","377073","","تم تبديل شاسيه للاله بفرق سعر 1000جنيه","مجدى","الشاسية القديم S9234700047",""
"13741","V4409308118","11/21/2024 12:00:00 AM","142806","","اله 201تم تغير شاسيه +شفره جديده+كيس حبر+بكره فيدر+نص كيس حبر 200 ج شد الاله2000جنيه","","",""
"13742","L7066301932","11/21/2024 12:00:00 AM","21901","","]درام جديد200ج+شفرة جديده75+100جرام ديفولبر+2كلاتش300ج+نص سفلى سخان750ج","","شد الاله2000جنيه",""
"13743","V2204003291","11/20/2024 12:00:00 AM","","","","","",""
"13744","L3774600601","11/20/2024 12:00:00 AM","399069","364581","تم تغيربامب اسود دفع 550ج","شعبان","",""
"13749","X128R250026","11/20/2024 12:00:00 AM","132737","","تم شحن 2شبايه+صيانه","كريم","",""
"13750","S8132001358","11/20/2024 12:00:00 AM","106112","","صيانه","شعبان","",""
"13751","W503K500113","11/20/2024 12:00:00 AM","420124","407946","صيانه للسخان والباى باص","شعبان","",""
"13752","W431K900134  ش","11/20/2024 12:00:00 AM","367563","","صيانة دورية","شعبان","",""
"13753","W542JB00610 ش","11/20/2024 12:00:00 AM","418573","113952","تم صيانة للسخان","شعبان","",""
"13755","L3673805549","11/20/2024 12:00:00 AM","189767","113486","تم عمل صيانة عامة للالة","السيد","",""
"13756","M5482800037 ش","11/21/2024 12:00:00 AM","126661","","ملو حبر اسود","مروان","",""
"13758","S5209302041","11/20/2024 12:00:00 AM","36781","","صيانه دوريه","شعبان","",""
"13760","VG37912991","11/21/2024 12:00:00 AM","184755","136408","صيانة دورية","شعبان","",""
"13762","W673K700453","11/21/2024 12:00:00 AM","496326","","صيانة دورية","شعبان","",""
"13763","W3019400107 ش","11/21/2024 12:00:00 AM","489119","","ملو حبر اسود الفا ربع","شعبان","",""
"13764","W492KC02634","11/21/2024 12:00:00 AM","894762","247950","تم صيانه للسخان +البمب الاسود","شعبان","",""
"13768","M5583300319","11/23/2024 12:00:00 AM","941987","","الغاء كود4000","السيد","",""
"13769","S5209101905","11/21/2024 12:00:00 AM","18419","","صيانة دورية","مجدى","",""
"13770","E256C930053","11/21/2024 12:00:00 AM","174237","363243","ص","مجدى","",""
"13773","W492K604744","11/21/2024 12:00:00 AM","370016","213882","تم تغيير شيت فلم02","مجدى","",""
"13774","S7214100287","11/21/2024 12:00:00 AM","156767","39411","صيانة دورية","مجدى","",""
"13775","W502KC00365 ش","11/23/2024 12:00:00 AM","887978","292728","تم حل خرطوم الحبر الاصفر","السيد","",""
"13776","G077P700179","11/23/2024 12:00:00 AM","70530","46356","تم تركيب شفرة درام ازرق 300ج+تسليم حبر اصفر انك 500ج دفع 300 وباقى 500","السيد","",""
"13780","W3019303200","11/23/2024 12:00:00 AM","128148","","تحتاج الى درام وشفره","طارق","",""
"13782","W3058603986","11/23/2024 12:00:00 AM","223703","","محتاج درام وشفره +ديفولبر سليم اسود","طارق","",""
"13795","W3039502523 ش","11/23/2024 12:00:00 AM","111631","","محتاج درام وشفر الاسبير+ مثلث يونت اسبير+تركيب تروس 15","طارق","",""
"13799","L7U3804578","11/25/2024 12:00:00 AM","561847","","صيانة دورية","رضا","",""
"13800","VNN6Y01524","11/25/2024 12:00:00 AM","1416402","","تغيير شفره +ملو حبر +صيانة يونت","رضا","",""
"13801","VNN7403597","11/25/2024 12:00:00 AM","1376149","","ملو حبر","رضا","",""
"13802","VKZ6101493 ش","11/25/2024 12:00:00 AM","545793","","صيانة دورية","رضا","",""
"13804","J8344802268","11/24/2024 12:00:00 AM","150557","","","","",""
"13807","S7214200506","11/23/2024 12:00:00 AM","481941","107199","صيانة دورية","مجدى","",""
"13808","S7234200574 ش","11/23/2024 12:00:00 AM","247931","100289","صيانة دورية","مجدى","",""
"13809","E256C930053","11/23/2024 12:00:00 AM","174239","363307","ص","مجدى","",""
"13811","M5603100143","11/24/2024 12:00:00 AM","2086242","","صيانه دوريه","شعبان","",""
"13814","W502K700261","11/24/2024 12:00:00 AM","121713","118577","صيانة دورية","شعبان","",""
"13816","V2204603721","11/24/2024 12:00:00 AM","156935","34956","تم تغيير شفره درام لليونت الازرق+شفرة حصيره","شعبان","",""
"13817","VTW7602268","11/24/2024 12:00:00 AM","150557","","زياره","رضا","",""
"13818","W2N7710769","11/25/2024 12:00:00 AM","633532","243432","تسليم عداد","شعبان","J",""
"13820","E256C930053","11/25/2024 12:00:00 AM","174239","363363","ص","مجدى","",""
"13823","V1404202619","11/25/2024 12:00:00 AM","966700","357997","صيانة دورية","مجدى","",""
"13824","S9338500743","11/25/2024 12:00:00 AM","43618","114454","صيانة دورية","مجدى","",""
"13826","W542JB00610 ش","11/26/2024 12:00:00 AM","419690","114049","ص","شعبان","",""
"13827","V1403900164","11/26/2024 12:00:00 AM","56795","63759","تم تغيير كلينر حصيرة","شعبان","",""
"13829","V9724204273 ش","11/26/2024 12:00:00 AM","409848","144085","تم عمل لحام الدرج 1","شعبان","",""
"13830","S7313900355","11/26/2024 12:00:00 AM","90718","29695","صيانة باب الجنب","شعبان","",""
"13831","W492KC02634","11/26/2024 12:00:00 AM","895521","248029","حل الكود572","شعبان","",""
"13832","LU34606509","11/26/2024 12:00:00 AM","86987","18808","ملو حبر اسود لامونى 600جنيه","شعبان","",""
"13834","E334M820643","11/26/2024 12:00:00 AM","58525","","ملو حبر","رضا","",""
"13835","E334M720510","11/26/2024 12:00:00 AM","365385","","ملو حبر","شعبان","",""
"13836","W3059500770 ش","11/26/2024 12:00:00 AM","127244","","تزويد ديفولبر+تغير 2 ترس","رضا","محتاج طقم تروس",""
"13841","W431K900560","11/26/2024 12:00:00 AM","1045540","","صيانه دوريه","شعبان","",""
"13842","G077P700179","11/25/2024 12:00:00 AM","73157","46367","تم تغيير شفرة حصيره 400جنيه","شعبان","",""
"13843","M5583300319","11/25/2024 12:00:00 AM","942628","","ص","شعبان","",""
"13844","VG67303326","11/25/2024 12:00:00 AM","458896","130899","تم ملو حبر ليمونى350ج +دفعه 500ج","شعبان","",""
"13845","VFL7306453","11/25/2024 12:00:00 AM","65241","193356","تم ملو حبر ليمونى 350ج تم دفع2000ج قسط الاله","شعبان","",""
"13847","G446P704915 ش","11/25/2024 12:00:00 AM","30243","","صيانة دورية","شعبان","",""
"13852","M5482800037 ش","11/25/2024 12:00:00 AM","127467","","صيانه لليونت","شعبان","",""
"13853","V2404400511 ش","11/25/2024 12:00:00 AM","128619","63693","صيانه لمجوعه الخروج","شعبان","",""
"13855","VNN8509475","11/25/2024 12:00:00 AM","515715","","صيانة دورية","رضا","",""
"13856","VNN7302613 ش","11/25/2024 12:00:00 AM","555388","","صيانة دورية","رضا","",""
"13857","V4409206160","11/25/2024 12:00:00 AM","167536","","تم تغيير الماتور الرئيسى","رضا","",""
"13862","E327M520015","11/27/2024 12:00:00 AM","217253","","تغير تنك","رضا","",""
"13865","W2J8113741","11/26/2024 12:00:00 AM","216870","28825","تسليم عداد","طارق","",""
"13867","SP3400","11/26/2024 12:00:00 AM","200","","تم تغيير حباره وصيانه شامله","كريم","",""
"13869","W3019303200","11/27/2024 12:00:00 AM","129144","","تم تغير درام وشفره","طارق","",""
"13870","W3058603986","11/27/2024 12:00:00 AM","223713","","تم تغيير درام +شفرة+طقم تروس 15+ديفولبر21","طارق","",""
"13872","W3029007187 ش","11/27/2024 12:00:00 AM","175571","","تم تغيير درام وشفره+تسليم 3 حبر ريكو +درام وشره للتجمع الخامس+تم تغيير طقم تروس 15","طارق","",""
"13873","W3059500770 ش","11/27/2024 12:00:00 AM","127341","","تسليم 5حبر+تركيب طقم تروس","السيد","",""
"13874","W3068701980","11/28/2024 12:00:00 AM","85982","","تم تركيب باب جانبى","السيد","تحتاج الى جريدة سخان زرقاء",""
"13875","W3038502528 ش","11/28/2024 12:00:00 AM","298316","","صيانه دوريه","السيد","",""
"13876","W3059401797 ش","11/28/2024 12:00:00 AM","249592","","صيانه دوريه","السيد","",""
"13877","W3059001259 ش","11/28/2024 12:00:00 AM","260367","","تم تزويد ديفولبر","السيد","",""
"13881","C519P302531","11/28/2024 12:00:00 AM","39570","62158","عداد تسليم الالة","مجدى","",""
"13882","G435P800173","11/28/2024 12:00:00 AM","305826","69010","عداد تسليم الالة","","",""
"13884","W907P701133","11/30/2024 12:00:00 AM","120679","","ص","مجدى","",""
"13885","W2W7622300","11/30/2024 12:00:00 AM","62755","169699","ملوحبر+تمتحصيل450ج","رضا","",""
"13886","W2N7Z18509","11/30/2024 12:00:00 AM","579432","155668","تم تسليم المكنه وتعريفها","رضا","00",""
"13887","S9339600497","11/28/2024 12:00:00 AM","13237","34707","ص","مجدى","",""
"13888","S7314400099","11/2/2024 12:00:00 AM","320374","20536","تم                                                                                                                         و تغييربكرةالسحب","مجدى","",""
"13889","S9024300805","11/23/2024 12:00:00 AM","377400","","صيانه دوريه","مجدى","",""
"13890","S7214200506","11/26/2024 12:00:00 AM","482020","107383","صيانة دورية","مجدى","",""
"13891","W915P803818","11/27/2024 12:00:00 AM","151266","","تم تغيير بكر السحب فيدر اله 301","مجدى","",""
"13892","G075P800388","11/27/2024 12:00:00 AM","136980","16673","صيانة دورية","مجدى","",""
"13894","E255C230064","11/27/2024 12:00:00 AM","50469","33879","ص","مجدى","",""
"13896","W907P701133","11/27/2024 12:00:00 AM","120668","","عداد تسليم الالة","مجدى","",""
"13900","W523J600793","11/26/2024 12:00:00 AM","463284","","صيانة دورية","مجدى","",""
"13901","V9714502840","11/26/2024 12:00:00 AM","417683","57358","صيانة دورية","مجدى","",""
"13902","VG66X00520","11/26/2024 12:00:00 AM","99100","238867","ص","مجدى","",""
"13903","V1404000378","11/28/2024 12:00:00 AM","389069","313239","صيانة دورية","مجدى","",""
"13904","W2S6X05486","11/26/2024 12:00:00 AM","360824","203474","صيانة دورية","مجدى","",""
"13906","V2404400511 ش","11/28/2024 12:00:00 AM","129313","63729","محتاج حبر ازرق","شعبان","",""
"13907","VG67303312","11/29/2024 12:00:00 AM","432680","86602","ملو 200جرام حبر اصلى 400 جنيه","رضا","",""
"13909","W663K200026","11/28/2024 12:00:00 AM","417048","","تم تغيير طقم تروس","شعبان","",""
"13915","M5592900275","11/28/2024 12:00:00 AM","767145","","صيانهة  للكنترول","شعبان","",""
"13918","V7905800315 ش","11/28/2024 12:00:00 AM","1900997","","تم تغيير شفرةدرام+ملو حبر اسود ايجل","شعبان","محتاج رول زيت",""
"13919","M5593600168","11/27/2024 12:00:00 AM","929545","","ملو حبر اسود ايجل300جنيه+صيانة لليونت الاسود","شعبان","",""
"13921","W512J600631 شش","11/27/2024 12:00:00 AM","54295","409549","تم تغيير شيت فلم+لبادة","شعبان","",""
"13925","V7905800315","11/27/2024 12:00:00 AM","1526234","","تم حل مشكله الحشر","السيد","تحتاج الىنص ديفولبر+ بكر سحب+ ترس حصيرة+ترس جوه الاله",""
"13926","G077P700179","11/23/2024 12:00:00 AM","70512","446356","ص","السيد","",""
"13927","W2J8113741","11/27/2024 12:00:00 AM","216870","28827","ص","طارق","G",""
"13928","W523J600793","11/20/2024 12:00:00 AM","462116","","صيانة دورية","مجدى","",""
"13929","W2J7104105","11/14/2024 12:00:00 AM","1166857","95319","صيانة دورية","مجدى","",""
"13930","E333M920248 ش","11/30/2024 12:00:00 AM","321326","","تم تغير شفرة درام","مجدى","",""
"13931","W905P600657","11/30/2024 12:00:00 AM","214004","","تم تغير ديفولبر+تروس يونت درام +ترس الماتور الرئيسى","مجدى","",""
"13933","S7314400099","11/30/2024 12:00:00 AM","325455","20536","صيانة دورية","مجدى","",""
"13934","S9319501678","11/30/2024 12:00:00 AM","39705","35630","ص","مجدى","",""
"13935","W663K200026","11/30/2024 12:00:00 AM","418040","","تم تغير درام +ملو عدد 4 اكياس حبر بخطين","شعبان","",""
"13936","W542JB00610 ش","11/30/2024 12:00:00 AM","420255","114083","صيانه للسخان","شعبان","",""
"13937","V7905800315 ش","11/30/2024 12:00:00 AM","1901630","","تم تغير رول زيت","شعبان","",""
"13938","J0110904079","11/30/2024 12:00:00 AM","631611","","ملو حبر اسود بخطين","شعبان","",""
"13940","VG68307310","11/26/2024 12:00:00 AM","125748","51618","تعريف طابعه","كريم","",""
"13944","W2N7710769","11/30/2024 12:00:00 AM","634328","243469","ص","رضا","",""
"13945","V2404400511 ش","11/30/2024 12:00:00 AM","129568","63746","ملو حبر ازرق ماليزى","شعبان","",""
"13950","M5583300319","12/1/2024 12:00:00 AM","942798","","نم الغاء الكود","كريم","",""
"13951","G077P700179","12/1/2024 12:00:00 AM","74181","46404","ص","كريم","",""
"13952","VFL7306453","12/1/2024 12:00:00 AM","65909","193558","ص","كريم","",""
"13953","C518P100323","12/1/2024 12:00:00 AM","39341","63414","عداد اقفل الاله","مجدى","",""
"13959","S7214000955 ش","12/1/2024 12:00:00 AM","379718","46842","ملو حبر اسود بخطين","شعبان","",""
"13960","S9339500806 ش","12/1/2024 12:00:00 AM","89003","105558","ملو حبر اسود الفا","شعبان","",""
"13961","S3726720040 ش","12/1/2024 12:00:00 AM","1105207","","ملو حبر ايجل","شعبان","",""
"13962","S7214000955 ش","11/2/2024 12:00:00 AM","378812","46826","ص","شعبان","",""
"13966","S5209302041","12/1/2024 12:00:00 AM","37202","","صيانه دوريه","شعبان","",""
"13967","V9304801899","12/1/2024 12:00:00 AM","377999","115358","تم لحام الكرونا المكسورة+ولحام الدوبلكس المكسور+ملو حبر اسود الفا ربع","شعبان","",""
"13968","W906P800014","12/1/2024 12:00:00 AM","73569","","ص","شعبان","",""
"13969","C518P100323","12/2/2024 12:00:00 AM","50469","33879","عداد تسليم الالة","مجدى","",""
"13970","G446P704915 ش","12/2/2024 12:00:00 AM","7752","30319","محتاج درام اصفر","كريم","",""
"13971","W492KC02634","12/2/2024 12:00:00 AM","896381","248068","ص","كريم","",""
"13972","S7313900355","12/2/2024 12:00:00 AM","90769","29696","ص","كريم","",""
"13973","E754K650223","12/2/2024 12:00:00 AM","589528","","صيانة دورية","كريم","",""
"13974","W673K700078","12/2/2024 12:00:00 AM","508959","","صيانة دورية","كريم","",""
"13975","G435P800173","11/30/2024 12:00:00 AM","305881","69034","ص","كريم","",""
"13978","W906P500274","12/1/2024 12:00:00 AM","18148","","صيانة دورية","مجدى","",""
"13979","G078P500292","12/1/2024 12:00:00 AM","138182","10272","صيانة دورية","مجدى","",""
"13980","W2N8725966","12/1/2024 12:00:00 AM","254352","489026","صيانة دورية","مجدى","",""
"13981","W663K200239 ش","12/1/2024 12:00:00 AM","447355","","ملو حبر","مجدى","",""
"13982","L7077261248","12/1/2024 12:00:00 AM","166570","","ص","مجدى","",""
"13984","S7214200506","12/2/2024 12:00:00 AM","482350","107626","صيانة دورية","مجدى","",""
"13985","S7234200574 ش","12/2/2024 12:00:00 AM","248150","100935","صيانة دورية","مجدى","",""
"13987","VG67303326","12/1/2024 12:00:00 AM","459883","131157","تنزيل سوفت","رضا","",""
"13989","M5603100143","11/21/2024 12:00:00 AM","2086125","","تم تغيير كارت شحن","كريم","",""
"13991","S8112300411","12/2/2024 12:00:00 AM","175648","","صيانه دوريه","مروان","",""
"13992","S8112300495","11/2/2024 12:00:00 AM","129411","","صيانة","","",""
"13993","W794P101777","12/2/2024 12:00:00 AM","7924","9342","تم حل علامة الحبر","مروان","",""
"13994","S9024300805","12/2/2024 12:00:00 AM","243077","","تم تركيب يونت وصيانه للسخان","مروان","",""
"13995","S8112400853","12/2/2024 12:00:00 AM","440832","","صيانه دوريه","مروان","",""
"13998","W522J900750","12/2/2024 12:00:00 AM","541519","","صيانه للمرايات+الحساس","رضا","",""
"13999","S9249500025","12/2/2024 12:00:00 AM","68409","","ص","رضا","",""
"14000","W673K600901","12/2/2024 12:00:00 AM","494306","","تزويد حبر ايجل اسبير","رضا","",""
"14001","K2169003833","12/2/2024 12:00:00 AM","162844","","صيانه","السيد","تم دفع 300 ج",""
"14002","V9724204273 ش","12/2/2024 12:00:00 AM","412890","144634","ص","السيد","",""
"14008","W663K200026","12/2/2024 12:00:00 AM","419021","","تو تغيير طقم تروس+ترس رئيسى","شعبان","",""
"14011","V9734601391","12/2/2024 12:00:00 AM","317662","10018","ص","رضا","",""
"14015","W2NX1442 شش","2/2/2024 12:00:00 AM","262718","243858","تسليم عداد","مجدى","",""
"14016","M0189100752","12/3/2024 12:00:00 AM","348493","","صيانة دورية","شعبان","",""
"14018","W492kA01765","12/3/2024 12:00:00 AM","298538","251869","صيانة دورية","شعبان","",""
"14019","K8563901702 ش","12/3/2024 12:00:00 AM","298675","","صيانة دورية","شعبان","",""
"14020","C507PB01811","12/3/2024 12:00:00 AM","20539","34767","صيانه دوريه","شعبان","",""
"14021","C508P502995","12/3/2024 12:00:00 AM","27882","41406","صيانه","شعبان","",""
"14022","W794P504109","12/3/2024 12:00:00 AM","46066","27847","صيانة دورية","شعبان","",""
"14023","W493K201714 ش","12/3/2024 12:00:00 AM","170530","125897","تم لحام حسر الكرونا زيارة150ج","شعبان","",""
"14024","V1403900164","12/3/2024 12:00:00 AM","56815","63815","تم صيانة لليونت الاسود","شعبان","",""
"14029","W431K900560","12/4/2024 12:00:00 AM","1050083","","محتاج رول سخان","شعبان","",""
"14031","G077P700179","12/4/2024 12:00:00 AM","74339","46796","ص+ملو حبر الفا ربع 225ج+100من الحساب","شعبان","",""
"14032","M5583300319","12/4/2024 12:00:00 AM","943625","","صيانة  دورية","شعبان","",""
"14033","VG67303326","12/3/2024 12:00:00 AM","45996","131307","ص-----د","رضا","",""
"14034","V7902800502","12/3/2024 12:00:00 AM","373968","","صيانه دوريه","رضا","",""
"14037","T1149260750","12/4/2024 12:00:00 AM","106151","","تم تغير يونت","كريم","",""
"14039","VG37913425","11/5/2024 12:00:00 AM","4525","189974","تعريف المكنه على اللاب","كريم","",""
"14040","M6583801637","12/1/2024 12:00:00 AM","570954","","صيانة دورية","السيد","",""
"14042","VNN8509475","12/4/2024 12:00:00 AM","357950","","صيانة دورية","مروان","",""
"14044","VNN7302613 ش","12/4/2024 12:00:00 AM","556473","","صيانة دورية","مروان","",""
"14046","T1119104074","11/5/2024 12:00:00 AM","236309","","تم تغييردرام + شفرة","طارق","",""
"14047","M6484400216","11/5/2024 12:00:00 AM","295423","","jتم تعيير درام وشفرة","طارق","",""
"14048","M6493700000","11/5/2024 12:00:00 AM","584529","","تم لحام جرية الدرج الاول+ضبط الصوره من الترحيل والبهتان","طارق","",""
"14053","E325M820622","12/5/2024 12:00:00 AM","138268","","صيانة للسخان","كريم","",""
"14054","V1494500080 ش","12/4/2024 12:00:00 AM","300136","134480","صيانة دورية","مجدى","",""
"14056","W905P600657","12/4/2024 12:00:00 AM","214234","","صيانة دورية","مجدى","",""
"14057","C519P302531","12/5/2024 12:00:00 AM","39641","62174","صيانه دوريه","مجدى","",""
"14058","E234C430210","12/5/2024 12:00:00 AM","1466911","160721","صيانه دوريه","مجدى","",""
"14059","M0189608284","12/5/2024 12:00:00 AM","159995","","صيانة دورية","مجدى","",""
"14060","W492KB05283 ش","12/5/2024 12:00:00 AM","323149","215112","صيانه دوريه","مجدى","",""
"14061","E176M420017","12/4/2024 12:00:00 AM","78269","70100","صيانة دورية","مجدى","",""
"14062","W2J7104105","12/4/2024 12:00:00 AM","1172085","95882","صيانة دورية","مجدى","",""
"14063","E174J401059","12/4/2024 12:00:00 AM","388685","1388685","صيانة دورية","مجدى","",""
"14064","V9314702744","12/4/2024 12:00:00 AM","27384","152384","صيانة دورية","مجدى","تم تجديد العقد 1000ج بالكلام",""
"14069","W3029007187 ش","12/5/2024 12:00:00 AM","175992","","تم حل مشكلة يهتان الصوره","طارق","",""
