"IDكودالصيانة","رقم الشاسية","تاريخ الصيانة","عداد اسود","عداد الوان","بيان الاصلاح","المهندس","قطع الغيار المطوبة","Field1"
"85","V7912600553","8/3/2022 12:00:00 AM","505535","","تمت صياتة المرايات","ايمن","",""
"86","S5209604185","5/24/2023 12:00:00 AM","234601","","تم تغير شاسية للالة بالكامل","ايمن","",""
"87","M5582800340","8/4/2022 12:00:00 AM","431350","","صيانة دورية","ايمن","",""
"88","V2404600206","8/4/2022 12:00:00 AM","311861","102885","صيانة دورية","ايمن","",""
"89","W673K500749","8/17/2022 12:00:00 AM","106249","","تم استبدال كارتة اشارات","شعبان"," الدرام بة نقط",""
"90","M6394900497","8/17/2022 12:00:00 AM","422998","","تم استبدال سخان استيراد","شعبان","حساب السخان 1200 جنية",""
"96","W914P204603","8/15/2022 12:00:00 AM","108796","","تم تركيب تروس 1515","طارق","",""
"107","V9304801899","8/18/2022 12:00:00 AM","241125","114563","تم اصلاح الصوت العالى فى الدوبلكس","اسامة","",""
"108","W542J700538","8/18/2022 12:00:00 AM","629317","388187","تم لحام كسر فى مجموعة الشحن الجانبية+ صيانة باب الجنب","اسامة","",""
"111","S7224100343","8/18/2022 12:00:00 AM","122724","103323","صيانة دورية","اسامة","",""
"113","K8266510466","8/18/2022 12:00:00 AM","229598","","تم تركيب رول سخان علوى + فيدر كامل للالة","شعبان","محتاج شفرة درام",""
"114","W512J701951","8/18/2022 12:00:00 AM","478147","177218","حل مشكلة حشر في الفنيشر","شعبان","",""
"116","J8353902350","8/18/2022 12:00:00 AM","457036","","تم تغيرطقم تروس لليونت","شعبان","",""
"117","V7913100397","8/4/2022 12:00:00 AM","935042","","صيانة دورية","طارق","",""
"121","M6493700000","8/17/2022 12:00:00 AM","551676","","صيانة دورية","الزهرى","محتاج ديفلبر + حبر",""
"123","M6484400216","8/17/2022 12:00:00 AM","269838","","صيانة دورية","الزهرى","مطلوب حبر + ديفلبر",""
"125","V9714302496","8/16/2022 12:00:00 AM","230865","176564","صيانة دورية","ايمن","",""
"126","V9714302496","8/20/2022 12:00:00 AM","232656","176564","صيانة دورية","ايمن","",""
"127","E174M831512","8/13/2022 12:00:00 AM","549971","300005","تم تغير شيت فلم للسخان","ايمن","",""
"128","E174M831512","8/16/2022 12:00:00 AM","550172","300044","تقطيع في الصورة","ايمن","",""
"129","E174M831512","8/20/2022 12:00:00 AM","550421","300055","خط في الصورة","ايمن","",""
"131","S7224000358","7/31/2022 12:00:00 AM","492020","163159","تم تغير السخان","ايمن","",""
"132","V7902901140","8/16/2022 12:00:00 AM","843845","","تحتاج رول زيت","ايمن","",""
"133","v8203800309","8/16/2022 12:00:00 AM","205681","","تم صيانة اليونت + حامل الحبر","ايمن","",""
"135","M5582800340","8/17/2022 12:00:00 AM","432447","","صيانة دورية + وضع حبر","ايمن","",""
"136","W524JA00173","8/17/2022 12:00:00 AM","371717","","صيانة دورية","ايمن","",""
"137","M5792700275","8/18/2022 12:00:00 AM","572260","","حشر في الدوبلكس","ايمن","",""
"138","v8213901348","8/18/2022 12:00:00 AM","310381","","صيانة دورية + صيانة الفيدر","ايمن","",""
"141","V1503800392","8/21/2022 12:00:00 AM","339957","210063","تم لحام مجموعة الكرونا + يوجد نقطة بالدرام","شعبان","",""
"143","N492X10852","8/21/2022 12:00:00 AM","147919","","ملو حبر +صيانة دورية","احمد رضا","محتاج سخان كيوسيرا",""
"144","V9714302496","8/21/2022 12:00:00 AM","232766","176564","ملو حبر + مسح مرايات","احمد رضا","",""
